1;Warboss;"6""";5;4+;5;6;6+;1;40mm
2;Warboss In Mega Armour;"5""";6;2+;5;7;6+;1;50mm
3;Warboss On Warbike;"12""";6;4+;5;7;6+;2;100 x 40mm
4;Weirdboy;"6""";5;5+;-;4;7+;1;40mm
6;Big Mek In Mega Armour;"5""";6;2+;-;5;7+;1;40mm
7;Big Mek On Warbike;"12""";6;4+;6;6;7+;2;90 x 52mm
8;GHAZGHKULL THRAKA;"5""";6;2+;4;10;6+;4;80mm
8;MAKARI;"5""";6;7+;2;1;8+;1;25mm
9;Kaptin Badrukk;"6""";5;3+;4;6;7+;1;40mm
10;Boss Zagstruk;"12""";5;4+;5;6;6+;1;40mm
11;Boss Snikrot;"6""";5;5+;5;6;6+;1;40mm
12;Mek;"6""";5;5+;-;4;7+;1;32mm
13;Painboy;"6""";5;5+;-;3;7+;1;32mm
14;Painboy On Warbike;"12""";6;4+;6;4;7+;2;90 x 52mm
15;Mad Dok Grotsnik;"6""";5;5+;5;4;7+;1;32mm
16;BOY;"6""";5;5+;-;1;7+;2;32mm
16;BOSS NOB;"6""";5;5+;-;2;7+;2;32mm
17;GRETCHIN;"6""";2;7+;-;1;8+;2;25mm
17;RUNTHERD;"6""";5*;5+;-;2;7+;1;32mm
19;Burna Boyz;"6""";5;5+;-;1;7+;1;32mm
20;TANKBUSTA;"6""";5;5+;-;1;7+;1;32mm
20;BOSS NOB;"6""";5;5+;-;2;7+;1;32mm
21;Nobz;"6""";5;4+;-;2;7+;1;32mm
22;Nob With Waaagh! Banner;"6""";5;4+;-;3;7+;1;32mm
23;Nobz On Warbikes;"12""";6;4+;6;4;7+;2;75 x 42mm
24;Meganobz;"5""";6;2+;-;3;7+;1;40mm
25;KOMMANDOS;"6""";5;5+;-;1;7+;1;32mm
25;BOSS NOB;"6""";5;5+;-;2;7+;1;32mm
26;Trukk;"12""";8;4+;6;10;7+;2;Use model
27;STORMBOY;"12""";5;5+;-;1;7+;1;32mm
27;BOSS NOB;"12""";5;5+;-;2;7+;1;32mm
28;Deffkoptas;"12""";6;4+;6;4;7+;2;75 x 42mm
29;Dakkajet;"20+""";9;3+;6;12;7+;-;120 x 92mm flying base
30;Burna-bommer;"20+""";9;3+;6;12;7+;-;120 x 92mm flying base
31;Blitza-bommer;"20+""";9;3+;6;12;7+;-;120 x 92mm flying base
32;Wazbom Blastajet;"20+""";9;3+;6;12;7+;-;120 x 92mm flying base
33;WARBIKER;"12""";6;4+;6;3;7+;2;75 x 42mm
33;BOSS NOB ON WARBIKE;"12""";6;4+;6;4;7+;2;75 x 42mm
34;Wartrakks;"12""";6;4+;6;6;7+;2;Use model
35;Skorchas;"12""";6;4+;6;6;7+;2;Use model
36;Warbuggies;"12""";6;4+;6;6;7+;2;Use model
37;Big Gunz;"3""";4;5+;6;3;8+;1;Use model
38;Mek Gunz;"3""";5;5+;6;6;8+;2;Use model
39;Battlewagon;"10""";10;3+;6;16;7+;5;Use model
40;Deff Dread;"8""";9;2+;6;8;7+;3;60mm
41;Killa Kans;"6""";6;3+;6;5;8+;2;60mm
42;Morkanaut;"8""";12;3+;5;20;7+;8;170 x 109mm
43;Gorkanaut;"8""";12;3+;6;20;7+;8;170 x 109mm
44;Lootas;"6""";5;5+;-;1;7+;1;32mm
45;Flash Gitz;"6""";5;4+;-;2;7+;1;40mm
46;Stompa;"10""";14;2+;6;30;6+;12;Use model
49;Grot Tanks;"10""";6;3+;-;5;8+;2;Use model
50;Grot Mega-tank;"8""";9;3+;-;12;8+;4;Use model
51;Squiggoth;"10""";10;3+;-;18;7+;5;Use model
52;Meka-dread;"8""";10;2+;6;16;7+;5;Use model
53;Lifta Wagon;"10""";10;3+;6;16;7+;5;Use model
54;Big Trakk;"12""";9;4+;6;12;7+;3;Use model
55;Kannonwagon;"12""";10;4+;6;16;7+;4;Use model
